time,actual x,actual y,actual z,actual R,actual P,actual Y
6.062,0.433915,-0.601964,1.38224,-0.000327474,0.039563,-1.63744
6.12,0.434021,-0.60205,1.38187,-0.000365249,0.0403995,-1.63763
6.14,0.434021,-0.60205,1.38187,-0.000365249,0.0403995,-1.63763
6.23,0.434016,-0.602251,1.38339,-0.000264683,0.0356074,-1.63763
6.312,0.434577,-0.602432,1.38267,-0.000302163,0.0365328,-1.6364
6.406,0.434256,-0.601793,1.38128,-0.000402927,0.0433261,-1.63754
6.42,0.434687,-0.602359,1.38341,-0.00030213,0.0357649,-1.63672
6.44,0.43446,-0.602323,1.38369,-0.000269782,0.0333141,-1.63675
6.53,0.434476,-0.602328,1.38339,-0.000282364,0.034165,-1.63737
6.622,0.434776,-0.602395,1.38247,-0.000323622,0.037415,-1.63698
6.68,0.434536,-0.602047,1.38179,-0.000341384,0.041052,-1.63724
6.7,0.434664,-0.601999,1.38056,-0.000462267,0.0460141,-1.63769
6.785,0.434672,-0.60223,1.38298,-0.000286547,0.0362221,-1.63741
6.873,0.434998,-0.602228,1.38233,-0.000329072,0.0378271,-1.63648
6.969,0.435202,-0.60231,1.38309,-0.000341501,0.0379037,-1.63686
6.98,0.435202,-0.60231,1.38309,-0.000341501,0.0379037,-1.63686
7,0.435049,-0.602401,1.38375,-0.000287212,0.0331229,-1.63655
7.089,0.434984,-0.602373,1.38347,-0.000293905,0.0337611,-1.63708
7.181,0.435222,-0.602219,1.38228,-0.000366518,0.0404539,-1.63703
7.241,0.435025,-0.602262,1.38233,-0.000398566,0.0402725,-1.63776
7.26,0.435025,-0.602262,1.38233,-0.000398566,0.0402725,-1.63776
7.26,0.435025,-0.602262,1.38233,-0.000398566,0.0402725,-1.63776
7.349,0.435196,-0.602346,1.38318,-0.000290052,0.036281,-1.63751
7.437,0.435182,-0.601857,1.38271,-0.000353521,0.0402413,-1.63774
7.533,0.435336,-0.601818,1.3817,-0.000439293,0.0434858,-1.63781
7.54,0.435336,-0.601818,1.3817,-0.000439293,0.0434858,-1.63781
7.56,0.435336,-0.601818,1.3817,-0.000439293,0.0434858,-1.63781
7.6,0.435478,-0.602446,1.38317,-0.00031285,0.0346612,-1.63736
7.688,0.435756,-0.602555,1.38317,-0.000325517,0.0360206,-1.63736
7.78,0.43591,-0.602317,1.38209,-0.000370851,0.041297,-1.6368
7.84,0.435586,-0.60225,1.38367,-0.000262449,0.0346681,-1.63705
7.86,0.435972,-0.602022,1.38059,-0.000482097,0.0478348,-1.63724
7.951,0.435797,-0.60209,1.38393,-0.000286001,0.0332433,-1.63712
8.038,0.435747,-0.601983,1.38213,-0.000399336,0.0419736,-1.63795
8.125,0.435769,-0.601876,1.38128,-0.000446061,0.0455206,-1.63798
8.18,0.436155,-0.602543,1.38361,-0.000278498,0.0346833,-1.63645
8.2,0.435778,-0.602038,1.38061,-0.000495383,0.0460537,-1.63833
8.285,0.440525,-0.602549,1.38333,-0.000478681,0.0355844,-1.63796
8.381,0.441853,-0.604148,1.38319,-0.00027333,0.0347267,-1.63244
8.44,0.443758,-0.603799,1.38355,-0.000311746,0.0330348,-1.63079
8.46,0.444356,-0.60311,1.38146,-0.000392937,0.0413822,-1.63223
8.545,0.445874,-0.602273,1.3836,-0.000457819,0.0343852,-1.63536
8.633,0.447331,-0.601425,1.38265,-0.000614297,0.0392084,-1.63459
8.725,0.448796,-0.600951,1.38151,-0.000819361,0.0444471,-1.63466
8.74,0.448796,-0.600951,1.38151,-0.000819361,0.0444471,-1.63466
8.76,0.449355,-0.601597,1.38355,-0.000556725,0.0340795,-1.63419
8.8,0.450221,-0.602338,1.38196,-0.000820354,0.0417893,-1.63708
8.892,0.45172,-0.602481,1.38379,-0.000478674,0.0330778,-1.63576
8.98,0.452916,-0.601854,1.38206,-0.000737998,0.0414849,-1.63565
9.04,0.453381,-0.602198,1.38344,-0.00055292,0.0354362,-1.63541
9.06,0.453954,-0.601853,1.38084,-0.000904321,0.0469314,-1.63606
9.1,0.454567,-0.602338,1.38168,-0.000943272,0.0440059,-1.63683
9.188,0.456095,-0.603205,1.3836,-0.000583011,0.0334187,-1.6357
9.276,0.45733,-0.602516,1.38216,-0.000864265,0.0412399,-1.63539
9.32,0.457662,-0.602653,1.38323,-0.000674917,0.0357837,-1.6356
9.38,0.458421,-0.602068,1.38073,-0.00113367,0.0472105,-1.63627
9.4,0.459151,-0.60318,1.38357,-0.000712903,0.0356724,-1.63583
9.488,0.460449,-0.603532,1.38343,-0.000587536,0.0327211,-1.63568
9.58,0.461874,-0.602795,1.38205,-0.000912098,0.0404723,-1.63511
9.671,0.463244,-0.602453,1.38057,-0.0012016,0.046913,-1.63511
