time,actual x,actual y,actual z,actual R,actual P,actual Y
7.637,1.28267,0.0730748,1.38214,-0.00155705,0.0415875,0.0381673
7.696,1.28301,0.0730172,1.38317,-0.00122423,0.0364591,0.0380842
7.716,1.28256,0.0728569,1.38133,-0.00179383,0.0440849,0.0373053
7.804,1.2831,0.0730886,1.38316,-0.00104505,0.0352189,0.0379966
7.836,1.28285,0.0731434,1.3825,-0.00127869,0.0384496,0.0384097
7.836,1.28285,0.0731434,1.3825,-0.00127869,0.0384496,0.0384097
7.925,1.28307,0.0730578,1.38333,-0.00111721,0.0348179,0.0383979
8.013,1.28262,0.0726665,1.38201,-0.00167065,0.0417411,0.0377154
8.105,1.28286,0.0732313,1.38256,-0.00161297,0.0401937,0.0384752
8.116,1.28286,0.0732313,1.38256,-0.00161297,0.0401937,0.0384752
8.136,1.28307,0.0728126,1.38379,-0.00113581,0.0342783,0.0382863
8.224,1.28307,0.073218,1.38343,-0.00116489,0.0345958,0.0376376
8.276,1.2829,0.073538,1.38216,-0.00155396,0.0394692,0.0383135
8.296,1.2829,0.073538,1.38216,-0.00155396,0.0394692,0.0383135
8.392,1.28319,0.0731177,1.38305,-0.0012107,0.0352461,0.0375785
8.484,1.28283,0.0729241,1.38238,-0.00163124,0.0401215,0.0373706
8.536,1.28285,0.0727663,1.38239,-0.00139024,0.0390486,0.0379566
8.556,1.28285,0.0727663,1.38239,-0.00139024,0.0390486,0.0379566
8.644,1.28311,0.0735687,1.38375,-0.00107229,0.0337684,0.0391226
8.74,1.28298,0.073155,1.38332,-0.00143396,0.0363794,0.0376517
8.796,1.28281,0.0725609,1.38182,-0.00158625,0.0405356,0.0372887
8.816,1.28281,0.0725609,1.38182,-0.00158625,0.0405356,0.0372887
8.904,1.28307,0.0735711,1.38356,-0.00116783,0.0345319,0.0390086
8.992,1.27871,0.0714939,1.38342,-0.000751301,0.029548,0.0372969
9.088,1.27641,0.0699065,1.38059,-0.0022111,0.0479737,0.0329281
9.096,1.27663,0.0711705,1.38303,-0.00180058,0.0397217,0.0345126
9.116,1.27663,0.0711705,1.38303,-0.00180058,0.0397217,0.0345126
9.208,1.28456,0.0755997,1.38463,-0.00081654,0.02742,0.0397476
9.295,1.28464,0.0764573,1.38263,-0.00154658,0.0362,0.0402733
9.381,1.28456,0.0765285,1.38277,-0.00177967,0.037262,0.0404278
9.396,1.28456,0.0765285,1.38277,-0.00177967,0.037262,0.0404278
9.414,1.28456,0.0765285,1.38277,-0.00177967,0.037262,0.0404278
9.501,1.28318,0.0745083,1.38363,-0.00124521,0.0351342,0.0372826
9.593,1.28258,0.0774854,1.38203,-0.00173948,0.0412491,0.0407315
9.684,1.28259,0.0771121,1.38245,-0.00143071,0.0401067,0.0418504
9.696,1.28259,0.0771121,1.38245,-0.00143071,0.0401067,0.0418504
9.716,1.28259,0.0771121,1.38245,-0.00143071,0.0401067,0.0418504
9.811,1.2828,0.0756214,1.38313,-0.00145589,0.035695,0.0395849
9.903,1.28248,0.0764695,1.3815,-0.00174802,0.0436838,0.0400149
9.916,1.28248,0.0764695,1.3815,-0.00174802,0.0436838,0.0400149
9.936,1.28326,0.0770945,1.38308,-0.00118523,0.0367588,0.0410737
10.023,1.28392,0.0757726,1.3826,-0.00138041,0.0373351,0.0395175
10.115,1.28433,0.0762195,1.38179,-0.00149917,0.0423569,0.0399956
10.203,1.28483,0.0758981,1.38032,-0.00201336,0.0467146,0.0389622
10.216,1.28483,0.0758981,1.38032,-0.00201336,0.0467146,0.0389622
10.236,1.28546,0.0756353,1.38373,-0.00124898,0.0341716,0.0395434
10.327,1.28419,0.0749484,1.38228,-0.00154525,0.0393967,0.0386328
10.415,1.28452,0.0752564,1.38143,-0.00176153,0.0444061,0.0391048
10.502,1.28466,0.0754759,1.38057,-0.00180342,0.0465314,0.0390104
10.516,1.28466,0.0754759,1.38057,-0.00180342,0.0465314,0.0390104
10.536,1.28501,0.075581,1.38388,-0.000922078,0.0342408,0.0398014
10.626,1.28364,0.0751885,1.38251,-0.00131691,0.0385161,0.0388165
10.714,1.28368,0.0761605,1.38171,-0.00152249,0.0436204,0.0397437
10.81,1.28375,0.0767646,1.38069,-0.00165322,0.0461703,0.0398263
10.816,1.28375,0.0767646,1.38069,-0.00165322,0.0461703,0.0398263
10.836,1.28375,0.0767646,1.38069,-0.00165322,0.0461703,0.0398263
10.926,1.28334,0.0761084,1.38259,-0.00120881,0.0372328,0.0394255
